x1;x2;xx1;xx2;y
79;"80,5";"7,9";"8,05";0
79;"80,5";"7,9";"8,05";0
91;87;"9,1";"8,7";1
89;"85,5";"8,9";"8,55";1
86;"85,5";"8,6";"8,55";1
92;88;"9,2";"8,8";1
86;85;"8,6";"8,5";1
79;80;"7,9";8;0
84;83;"8,4";"8,3";1
81;83;"8,1";"8,3";1
79;"80,5";"7,9";"8,05";0
83;"82,5";"8,3";"8,25";1
79;"79,5";"7,9";"7,95";0
78;80;"7,8";8;0
86;84;"8,6";"8,4";1
85;"83,5";"8,5";"8,35";1
86;"84,5";"8,6";"8,45";1
83;"82,5";"8,3";"8,25";1
88;"85,5";"8,8";"8,55";1
80;80;8;8;1
81;81;"8,1";"8,1";1
91;"89,5";"9,1";"8,95";1
88;"87,5";"8,8";"8,75";1
80;80;8;8;1
90;"88,5";9;"8,85";1
80;80;8;8;1
78;78;"7,8";"7,8";0
88;"87,5";"8,8";"8,75";1
82;82;"8,2";"8,2";1
81;81;"8,1";"8,1";1
89;88;"8,9";"8,8";1
81;81;"8,1";"8,1";1
77;78;"7,7";"7,8";0
88;"87,5";"8,8";"8,75";1
86;85;"8,6";"8,5";1
89;88;"8,9";"8,8";1
88;"87,5";"8,8";"8,75";1
82;82;"8,2";"8,2";1
78;79;"7,8";"7,9";0
79;80;"7,9";8;0
85;86;"8,5";"8,6";1
80;81;8;"8,1";1
83;84;"8,3";"8,4";1
84;85;"8,4";"8,5";1
82;83;"8,2";"8,3";1
78;79;"7,8";"7,9";0
79;80;"7,9";8;0
80;81;8;"8,1";1
83;84;"8,3";"8,4";1
83;84;"8,3";"8,4";1
82;83;"8,2";"8,3";1
76;77;"7,6";"7,7";0
84;85;"8,4";"8,5";1
83;84;"8,3";"8,4";1
84;85;"8,4";"8,5";1
80;81;8;"8,1";1
83;84;"8,3";"8,4";1
80;"78,5";8;"7,85";0
83;"81,5";"8,3";"8,15";1
93;"91,5";"9,3";"9,15";1
86;"84,5";"8,6";"8,45";1
91;"89,5";"9,1";"8,95";1
93;"91,5";"9,3";"9,15";1
87;"85,5";"8,7";"8,55";1
79;"77,5";"7,9";"7,75";0
88;"86,5";"8,8";"8,65";1
80;"78,5";8;"7,85";0
80;"78,5";8;"7,85";0
91;"89,5";"9,1";"8,95";1
79;"77,5";"7,9";"7,75";0
78;"76,5";"7,8";"7,65";0
90;"88,5";9;"8,85";1
91;"89,5";"9,1";"8,95";1
91;"89,5";"9,1";"8,95";1
86;"84,5";"8,6";"8,45";1
91;"89,5";"9,1";"8,95";1
84;83;"8,4";"8,3";1
78;"79,5";"7,8";"7,95";0
77;"79,5";"7,7";"7,95";0
78;"79,5";"7,8";"7,95";0
77;"79,5";"7,7";"7,95";0
84;"83,5";"8,4";"8,35";1
77;79;"7,7";"7,9";0
92;87;"9,2";"8,7";1
79;"80,5";"7,9";"8,05";0
81;"81,5";"8,1";"8,15";1
80;81;8;"8,1";1
80;81;8;"8,1";1
79;80;"7,9";8;0
84;83;"8,4";"8,3";1
83;"82,5";"8,3";"8,25";1
80;81;8;"8,1";1
82;"82,5";"8,2";"8,25";1
88;85;"8,8";"8,5";1
88;"87,5";"8,8";"8,75";1
81;"81,5";"8,1";"8,15";1
78;"78,5";"7,8";"7,85";0
79;"79,5";"7,9";"7,95";0
78;"78,5";"7,8";"7,85";0
86;"86,5";"8,6";"8,65";1
78;"78,5";"7,8";"7,85";0
88;"88,5";"8,8";"8,85";1
81;"81,5";"8,1";"8,15";1
80;"80,5";8;"8,05";1
81;"81,5";"8,1";"8,15";1
86;"86,5";"8,6";"8,65";1
82;"82,5";"8,2";"8,25";1
87;"87,5";"8,7";"8,75";1
88;"88,5";"8,8";"8,85";1
86;"86,5";"8,6";"8,65";1
86;"86,5";"8,6";"8,65";1
88;"88,5";"8,8";"8,85";1
"86,3";"87,15";"8,63";"8,715";1
"80,1";"80,55";"8,01";"8,055";1
"85,6";"81,8";"8,56";"8,18";1
"85,6";"82,3";"8,56";"8,23";1
"85,6";"81,8";"8,56";"8,18";1
"86,3";"84,65";"8,63";"8,465";1
"79,9";"78,95";"7,99";"7,895";0
"86,3";"87,65";"8,63";"8,765";1
"83,8";"82,9";"8,38";"8,29";1
"85,6";"86,3";"8,56";"8,63";1
84;"82,5";"8,4";"8,25";1
"81,6";"81,3";"8,16";"8,13";1
"83,5";"81,75";"8,35";"8,175";1
"88,7";"87,85";"8,87";"8,785";1
"88,7";"87,35";"8,87";"8,735";1
84;80;"8,4";8;1
84;83;"8,4";"8,3";1
"85,6";"86,8";"8,56";"8,68";1
89;"87,5";"8,9";"8,75";1
79;"77,5";"7,9";"7,75";0
79;"77,5";"7,9";"7,75";0
79;"77,5";"7,9";"7,75";0
79;"77,5";"7,9";"7,75";0
84;"82,5";"8,4";"8,25";1
79;"77,5";"7,9";"7,75";0
94;"92,5";"9,4";"9,25";1
79;"77,5";"7,9";"7,75";0
80;"78,5";8;"7,85";0
86;"84,5";"8,6";"8,45";1
80;"78,5";8;"7,85";0
85;"83,5";"8,5";"8,35";1
92;"90,5";"9,2";"9,05";1
92;"90,5";"9,2";"9,05";1
85;"83,5";"8,5";"8,35";1
86;"84,5";"8,6";"8,45";1
93;"91,5";"9,3";"9,15";1
81;"81,5";"8,1";"8,15";1
81;"81,5";"8,1";"8,15";1
81;82;"8,1";"8,2";1
81;"81,5";"8,1";"8,15";1
81;83;"8,1";"8,3";1
81;"82,5";"8,1";"8,25";1
81;"82,5";"8,1";"8,25";1
81;81;"8,1";"8,1";1
81;"81,5";"8,1";"8,15";1
81;83;"8,1";"8,3";1
81;"81,5";"8,1";"8,15";1
81;"81,5";"8,1";"8,15";1
81;"80,5";"8,1";"8,05";1
81;"81,5";"8,1";"8,15";1
82;82;"8,2";"8,2";1
81;"81,5";"8,1";"8,15";1
83;83;"8,3";"8,3";1
83;"82,5";"8,3";"8,25";1
83;83;"8,3";"8,3";1
83;"82,632";"8,3";"8,2632";1
81;"81,33066667";"8,1";"8,133066667";1
81;"81,33";"8,1";"8,133";1
81;"81,328";"8,1";"8,1328";1
81;"81,33";"8,1";"8,133";1
81;"81,32533333";"8,1";"8,132533333";1
81;"81,324";"8,1";"8,1324";1
81;"81,32266667";"8,1";"8,132266667";1
81;"81,5";"8,1";"8,15";1
87;"83,5";"8,7";"8,35";1
81;81;"8,1";"8,1";1
83;"81,5";"8,3";"8,15";1
81;"80,5";"8,1";"8,05";1
81;81;"8,1";"8,1";1
83;"81,5";"8,3";"8,15";1
91;"86,5";"9,1";"8,65";1
89;85;"8,9";"8,5";1
91;86;"9,1";"8,6";1
84;82;"8,4";"8,2";1
87;84;"8,7";"8,4";1
82;82;"8,2";"8,2";1
81;"81,5";"8,1";"8,15";1
87;84;"8,7";"8,4";1
84;"82,5";"8,4";"8,25";1
81;81;"8,1";"8,1";1
86;"84,5";"8,6";"8,45";1
81;82;"8,1";"8,2";1
83;83;"8,3";"8,3";1
81;82;"8,1";"8,2";1
81;82;"8,1";"8,2";1
88;"85,5";"8,8";"8,55";1
83;83;"8,3";"8,3";1
81;82;"8,1";"8,2";1
81;82;"8,1";"8,2";1
