a;b;c;d;e
"86,1";"86,3";"88,0";"86,3";4
"84,4";"80,1";"86,0";"84,3";3
"83,5";"85,6";"87,0";"85,6";4
"83,5";"85,6";"86,0";"84,3";4
"82,6";"85,6";"86,0";"84,6";4
"86,1";"86,3";"88,0";"85,6";4
"80,1";"79,9";"77,2";"83,3";3
"84,4";"86,3";"89,0";"87,0";4
"86,1";"83,8";"86,0";"83,6";4
"86,1";"85,6";"89,0";"87,0";4
"71,2";"75,0";"72,0";"70,0";2
"85,3";"81,6";"87,0";"85,6";4
"60,0";"74,2";"75,0";"90,0";2
"70,0";"85,0";"80,0";"92,0";3
"86,1";"88,7";"89,0";"87,0";4
"86,1";"84,0";"88,0";"86,0";4
"86,1";"84,0";"88,0";"86,0";4
"86,1";"85,6";"88,0";"85,6";4
